threshold,accuracy,precision,recall,f1
0.5,0.9718804920913884,0.9749303621169917,0.9803921568627451,0.9776536312849162
0.1,0.9578207381370826,0.937007874015748,1.0,0.967479674796748
0.2,0.968365553602812,0.952,1.0,0.9754098360655737
0.30000000000000004,0.9753954305799648,0.964769647696477,0.9971988795518207,0.9807162534435262
0.4,0.9701230228471002,0.967032967032967,0.9859943977591037,0.9764216366158114
0.5,0.9718804920913884,0.9749303621169917,0.9803921568627451,0.9776536312849162
0.6,0.9718804920913884,0.9857549857549858,0.969187675070028,0.9774011299435028
0.7000000000000001,0.9666080843585237,0.985632183908046,0.9607843137254902,0.9730496453900709
0.8,0.945518453427065,0.9851190476190477,0.927170868347339,0.9552669552669553
0.9,0.9138840070298769,0.9873417721518988,0.8739495798319328,0.9271916790490342
